gid,year,pop_gpw_sum
"68633","2010","7772.554"
"69051","2010","617.2249"
"69052","2010","1445.6079"
"69053","2010","838.99457"
"69054","2010","738.8196"
"69055","2010","2635.065"
"69056","2010","3260.0674"
"69057","2010","692.17377"
"69103","2010","10479.384"
"69104","2010","2180.7249"
"69105","2010","1212.9222"
"69106","2010","1567.4745"
"69107","2010","1852.0641"
"69108","2010","2397.266"
"69109","2010","0.8371314"
"69332","2010","2235.059"
"69333","2010","29569.68"
"69334","2010","68400.58"
"69335","2010","50367.18"
"69336","2010","12488.874"
"69337","2010","35479.695"
"69338","2010","28742.191"
"69339","2010","555.07806"
"69340","2010","551.92834"
"69341","2010","654.763"
"69342","2010","1145.3158"
"69343","2010","1166.2378"
"69344","2010","1047.4563"
"69345","2010","349.62323"
"69346","2010","349.59967"
"69347","2010","493.15823"
"69348","2010","540.69226"
"69349","2010","2178.9204"
"69350","2010","3739.2144"
"69351","2010","0"
"69770","2010","322.95013"
"69771","2010","1508.3811"
"69772","2010","2413.4746"
"69773","2010","5636.0996"
"69774","2010","3264.3792"
"69775","2010","12057.686"
"69776","2010","2589.5115"
"69777","2010","2055.6968"
"69823","2010","727.1225"
"69824","2010","3391.7446"
"69825","2010","1252.1176"
"69826","2010","2736.34"
"69827","2010","6394.738"
"69828","2010","26500.037"
"69829","2010","532.4586"
"69831","2010","342.6056"
"69832","2010","6.9816246"
"70053","2010","16384.408"
"70054","2010","74187.92"
"70055","2010","102439.33"
"70056","2010","33598.016"
"70057","2010","43495.395"
"70058","2010","28406.793"
"70059","2010","1524.213"
"70060","2010","1374.0232"
"70061","2010","1166.047"
"70062","2010","1175.2771"
"70063","2010","1175.2771"
"70064","2010","1087.1206"
"70065","2010","352.48126"
"70066","2010","352.48126"
"70067","2010","491.63892"
"70068","2010","544.8831"
"70069","2010","2405.709"
"70070","2010","3041.2107"
"70072","2010","342.19424"
"70073","2010","4361.4297"
"70074","2010","4822.3193"
"70075","2010","1101.124"
"70490","2010","2171.5742"
"70491","2010","2940.9575"
"70492","2010","27318.162"
"70493","2010","48223.652"
"70494","2010","24890.146"
"70495","2010","69504.555"
"70496","2010","4724.3945"
"70497","2010","2202.0857"
"70544","2010","8.448919"
"70545","2010","1096.5989"
"70546","2010","15671.662"
"70547","2010","57493.47"
"70548","2010","12516.938"
"70549","2010","5107.3506"
"70550","2010","307326.53"
"70551","2010","41582.645"
"70552","2010","7013.93"
"70553","2010","239.6524"
"70773","2010","24572.447"
"70774","2010","111448.39"
"70775","2010","25402.037"
"70776","2010","20222.543"
"70777","2010","11889.411"
"70778","2010","8836.487"
"70779","2010","4173.716"
"70780","2010","1619.1158"
"70781","2010","1229.7162"
"70782","2010","1183.393"
"70783","2010","1184.2269"
"70784","2010","1131.0681"
"70785","2010","355.16544"
"70786","2010","355.16544"
"70787","2010","490.58203"
"70788","2010","549.0324"
"70789","2010","2576.1577"
"70790","2010","3618.6306"
"70791","2010","4309.723"
"70792","2010","14231.214"
"70793","2010","15209.636"
